,Predicted Close
0,67538.41811415597
1,67326.71378878041
2,67119.87305946548
3,66903.92676776882
4,66701.33676012345
5,66500.4628007731
6,66280.63788971574
7,66070.30377637167
8,65854.65078884788
9,65650.05142873462
10,65428.773129835565
11,65190.86842424138
12,64969.86154114409
13,64752.124780690625
14,64514.9686573884
15,64278.09270523639
16,64036.59830678018
17,63798.48347282334
18,63559.19979984923
19,63315.293302896695
20,63074.21040581734
21,62838.3632071075
22,62596.94760678728
23,62346.42206641109
24,62096.77206087931
25,61846.44351584311
26,61597.23127773352
27,61351.68753062196
28,61096.49101185091
29,60840.9836782101
30,60581.680901018815
31,60336.50050086768
32,60075.22339260228
33,59814.26585455509
34,59539.47924364062
35,59281.0651343164
36,59022.17823617621
37,58761.356406029896
38,58498.37200481792
39,58235.61524266549
40,57978.781473735406
41,57710.70583740326
42,57451.81893926306
43,57188.68131945332
44,56930.91072823973
45,56665.1683922679
46,56406.46535644503
47,56147.97682665904
48,55875.8430863231
49,55603.998272485806
50,55343.78056138213
51,55067.65875982995
52,54809.980099775035
53,54547.62608365102
54,54282.71988345559
55,54019.19702831431
56,53746.63865357883
57,53467.75453959258
58,53197.44628940721
59,52923.8854272749
60,52661.68025207444
61,52404.72390826614
62,52136.02664219447
63,51874.60507067974
64,51612.72822104593
65,51360.2633709894
66,51098.675447854235
67,50842.97549654765
68,50577.60088521047
69,50319.642054005344
70,50071.165265165044
71,49826.65027149566
72,49585.65930557497
73,49329.447166384416
74,49079.42068086954
75,48828.3873302836
76,48581.884872517425
77,48339.348587596374
78,48084.83936367818
79,47840.92411137719
80,47596.87752884956
81,47352.8265686477
82,47110.58358789952
83,46869.47880244906
84,46629.17950905545
85,46390.780126274185
86,46146.26951027902
87,45909.36729208167
88,45665.88542952867
89,45431.59668284185
90,45195.80639389689
91,44961.28563047631
92,44727.56160376413
93,44496.26280857094
94,44263.35302926405
95,44035.89345436354
96,43813.056703441456
97,43586.836010345774
98,43359.223216847495
99,43136.54843987163
100,42912.12697088118
101,42689.26395391377
102,42470.721701403454
103,42247.14074586363
104,42026.002532539685
105,41804.99127176817
106,41582.73237384339
107,41361.44094192167
108,41139.94813698574
109,40923.139443467335
110,40711.15932461579
111,40499.56881877001
112,40280.87772533615
113,40067.73752281578
114,39854.71989517363
115,39644.74475111576
116,39440.38178541048
117,39225.88888155551
118,39013.94378409775
119,38806.87103804906
120,38601.9345970207
121,38398.52596429582
122,38193.650810706575
123,37992.641143455345
124,37791.01422413882
125,37589.92575875159
126,37376.4834967099
127,37168.54834883948
128,36963.58126409157
129,36755.21710414739
130,36550.849760767895
131,36351.25845996459
132,36154.5958232158
133,35957.66177066525
134,35762.842134763916
135,35566.275806848
136,35366.9427888238
137,35159.47167442091
138,34956.68904910977
139,34758.008304544644
140,34563.01356167443
141,34362.06955953653
142,34161.116802050194
143,33966.305921497304
144,33767.59453321262
145,33570.86185367627
146,33375.21483734699
147,33180.12816331811
148,32982.76947636803
149,32788.155591155126
150,32592.162738562303
151,32395.18490926953
152,32203.57848624714
153,32008.531211286263
154,31811.92110662814
155,31614.334780618505
156,31421.979775304157
157,31226.88872360106
158,31038.35542788251
159,30848.32934525426
160,30659.47210164328
161,30469.761211559016
162,30278.338650853948
163,30089.336943993643
164,29901.836779391484
165,29712.61181114586
166,29520.287449551062
167,29335.306636463658
168,29147.248318398193
169,28959.4023175325
170,28770.116061847762
171,28581.425169857222
172,28392.50226113291
173,28205.365443491177
174,28017.47347704615
175,27830.35198126419
176,27645.495931892114
177,27462.29026570173
178,27276.92859495701
179,27093.3792813402
180,26907.61924224128
181,26723.023664485412
182,26544.650950636107
183,26366.23446004458
184,26185.423381653625
185,26009.112552362876
186,25832.442753785926
187,25649.508503397305
188,25472.716129942135
189,25296.93062155803
190,25121.596013618786
191,24944.663554588515
192,24773.45709344061
193,24600.981106768326
194,24427.010144349235
195,24255.45128042646
196,24085.15537551673
197,23911.615614008504
198,23741.52983746143
199,23574.830191925066
200,23404.538664689557
201,23238.145456348735
202,23070.550576433972
203,22904.2471104147
204,22738.952698303598
205,22573.01039040764
206,22408.738165227373
207,22247.639753858046
208,22083.35001798089
209,21921.15718805607
210,21761.45525476356
211,21602.86962839766
212,21441.749328657228
213,21286.6417644607
214,21132.479777896122
215,20976.892858372288
216,20822.238383457738
217,20670.04853913017
218,20518.65105383678
219,20368.002150835353
220,20217.872002229233
221,20068.38537173374
222,19919.43500633045
223,19771.408330187995
224,19626.45259251227
225,19480.04784466906
226,19337.186824108558
227,19195.1706946729
228,19053.06263407858
229,18912.841351073937
230,18773.972769403892
231,18635.798049098034
232,18498.507618985015
233,18364.815637082476
234,18230.850050541063
235,18097.556436992723
236,17966.52826985427
237,17836.480701741537
238,17706.556802925577
239,17575.983913906206
240,17449.71537306561
241,17322.72123272272
242,17196.54571745934
243,17072.873137432387
244,16948.438842090804
245,16824.550661608417
246,16703.48936425488
247,16581.589742287833
248,16462.154750907768
249,16344.315421781619
250,16228.930873475452
251,16113.657955861945
252,15997.304847134163
253,15884.968254505058
254,15771.087437294145
255,15662.517833333064
256,15551.288792282125
257,15441.768138596315
258,15335.105011758913
259,15228.291949579407
260,15124.41849563997
261,15017.068073949715
262,14916.691287295092
263,14812.659142665108
264,14712.968556444783
265,14611.78518331476
266,14512.379145918865
267,14415.465099573841
268,14319.163927619895
269,14222.858377991726
270,14127.564071108838
271,14034.199224139293
272,13941.753688756366
273,13849.095836173674
274,13760.380079227883
275,13669.76441166975
276,13580.099793836345
277,13493.46671540167
278,13406.381642103572
279,13318.776719991614
280,13232.992910356004
281,13148.970020176192
282,13066.665367128511
283,12987.116460003574
284,12903.402195856412
285,12825.49819982039
286,12744.53968159597
287,12667.367851573576
288,12589.913661563864
289,12510.19621398138
290,12433.406336034854
291,12355.899613934476
292,12283.47099393161
293,12209.71156096526
294,12138.026051161576
295,12065.200157223066
296,11991.660702386369
297,11921.952806912472
298,11852.60059746911
299,11779.386184943398
300,11709.514126686176
301,11638.734795446446
302,11570.98372034978
303,11499.742544479628
304,11436.191847798964
305,11370.49390191241
306,11305.540160643597
307,11238.855049219985
308,11175.872355769625
309,11109.689582462986
310,11046.306331821312
311,10981.9698426178
312,10920.928647684892
313,10856.916106373807
314,10796.596133268971
315,10735.573543451508
316,10679.223026447466
317,10619.775304931361
318,10561.717494980743
319,10502.25992369764
320,10444.573121637333
321,10389.830305491318
322,10333.6242517366
323,10274.690906941583
324,10215.11404403593
325,10162.100409207602
326,10106.128561023761
327,10052.975935038885
328,9999.43588488536
329,9949.42971224754
330,9897.2697238925
331,9846.792951275815
332,9792.406915578891
333,9741.99252481987
334,9689.688073215504
335,9638.572160162408
336,9585.748954162736
337,9536.08424011423
338,9487.658407870551
339,9438.868134247889
340,9386.352459862312
341,9339.885636832973
342,9294.95099978133
343,9243.322898844262
344,9198.713304103603
345,9153.047595456888
346,9101.759858690579
347,9054.705332896938
348,9010.300394426156
349,8967.109713342701
350,8921.008426110899
351,8876.937832508822
352,8833.759737238755
353,8787.590048847233
354,8747.748288543602
355,8704.964183953514
356,8658.327726048072
357,8612.363241135707
358,8570.48531510957
359,8530.027944368472
360,8484.117085965325
